"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"CommonDataModelResearchStudy","CommonDataModelResearchStudy","CommonDataModelResearchStudy","","","",0,*,"","","","null {[]} {[]}
","CDM Research Study","The **Common Data Model (CDM) Research Study** represents the understanding of what a Research Study is from the context of users and authors of the NCPI FHIR IG.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"CommonDataModelResearchStudy","CommonDataModelResearchStudy.persistentIdentifier","CommonDataModelResearchStudy.persistentIdentifier","","","",0,*,"","","","Identifier {[]} {[]}
","External facing, globally unique identifier.","External facing, globally unique identifier.","","","","","","","","","",,,,,"",,,,"CommonDataModelResearchStudy.persistentIdentifier",0,*,"",""
"CommonDataModelResearchStudy","CommonDataModelResearchStudy.parentStudy","CommonDataModelResearchStudy.parentStudy","","","",0,1,"","","","https://nih-ncpi.github.io/ncpi-fhir-ig-2/StructureDefinition/CommonDataModelResearchStudy {[]} {[]}
","Parent study, required only for substudies.","Parent study, required only for substudies.","","","","","","","","","",,,,,"",,,,"CommonDataModelResearchStudy.parentStudy",0,1,"",""
"CommonDataModelResearchStudy","CommonDataModelResearchStudy.name","CommonDataModelResearchStudy.name","","","",1,*,"","","","BackboneElement {[]} {[]}
","Name is a repeatable object that consists of sets of two fields.  All ResearchStudy records must have at least one Name object with Name.Type=”formal title”.","Name is a repeatable object that consists of sets of two fields.  All ResearchStudy records must have at least one Name object with Name.Type=”formal title”.","","","","","","","","","",,,,,"",,,,"CommonDataModelResearchStudy.name",1,*,"","ele-1:All FHIR elements must have a @value or children unless an empty Parameters resource {hasValue() or (children().count() > id.count()) or $this is Parameters}
"
"CommonDataModelResearchStudy","CommonDataModelResearchStudy.name.id","CommonDataModelResearchStudy.name.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"CommonDataModelResearchStudy","CommonDataModelResearchStudy.name.extension","CommonDataModelResearchStudy.name.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"CommonDataModelResearchStudy","CommonDataModelResearchStudy.name.modifierExtension","CommonDataModelResearchStudy.name.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4B/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"CommonDataModelResearchStudy","CommonDataModelResearchStudy.name.text","CommonDataModelResearchStudy.name.text","","","",1,1,"","","","string {[]} {[]}
","The study's name","The study's name","","","","","","","","","",,,,,"",,,,"CommonDataModelResearchStudy.name.text",1,1,"",""
"CommonDataModelResearchStudy","CommonDataModelResearchStudy.name.type","CommonDataModelResearchStudy.name.type","","","",0,1,"","","","code {[]} {[]}
","Type of name or title this name relates to (formal-title, internale-name, familiar-name, etc)","Type of name or title this name relates to (formal-title, internale-name, familiar-name, etc)","","","","","","","","","",,"extensible","","https://nih-ncpi.github.io/ncpi-fhir-ig-2/ValueSet/study-name-type","",,,,"CommonDataModelResearchStudy.name.type",0,1,"",""
"CommonDataModelResearchStudy","CommonDataModelResearchStudy.description","CommonDataModelResearchStudy.description","","","",1,1,"","","","string {[]} {[]}
","short summary of relevant and important information about the study.","short summary of relevant and important information about the study.","","","","","","","","","",,,,,"",,,,"CommonDataModelResearchStudy.description",1,1,"",""
"CommonDataModelResearchStudy","CommonDataModelResearchStudy.website","CommonDataModelResearchStudy.website","","","",0,*,"","","","url {[]} {[]}
","A URL for a website that provides information about the research effort as a whole.","A URL for a website that provides information about the research effort as a whole.","","","","","","","","","",,,,,"",,,,"CommonDataModelResearchStudy.website",0,*,"",""
"CommonDataModelResearchStudy","CommonDataModelResearchStudy.totalParticipants","CommonDataModelResearchStudy.totalParticipants","","","",0,1,"","","","integer {[]} {[]}
","Number of total participants represented by the data in this study.","Number of total participants represented by the data in this study.","","","","","","","","","",,,,,"",,,,"CommonDataModelResearchStudy.totalParticipants",0,1,"",""
"CommonDataModelResearchStudy","CommonDataModelResearchStudy.studyFocus","CommonDataModelResearchStudy.studyFocus","","","",0,*,"","","","BackboneElement {[]} {[]}
","The primary focus(es) of the study. This can include terms related to disease area, intervention, drug, device, or other focus. MeSH terms are preferred.","The primary focus(es) of the study. This can include terms related to disease area, intervention, drug, device, or other focus. MeSH terms are preferred.","","","","","","","","","",,,,,"",,,,"CommonDataModelResearchStudy.studyFocus",0,*,"","ele-1:All FHIR elements must have a @value or children unless an empty Parameters resource {hasValue() or (children().count() > id.count()) or $this is Parameters}
"
"CommonDataModelResearchStudy","CommonDataModelResearchStudy.studyFocus.id","CommonDataModelResearchStudy.studyFocus.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"CommonDataModelResearchStudy","CommonDataModelResearchStudy.studyFocus.extension","CommonDataModelResearchStudy.studyFocus.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"CommonDataModelResearchStudy","CommonDataModelResearchStudy.studyFocus.modifierExtension","CommonDataModelResearchStudy.studyFocus.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4B/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"CommonDataModelResearchStudy","CommonDataModelResearchStudy.studyFocus.term","CommonDataModelResearchStudy.studyFocus.term","","","",1,1,"","","","string {[]} {[]}
","The term used to describe the focus of the study. A valid MeSH is preferred.","The term used to describe the focus of the study. A valid MeSH is preferred.","","","","","","","","","",,,,,"",,,,"CommonDataModelResearchStudy.studyFocus.term",1,1,"",""
"CommonDataModelResearchStudy","CommonDataModelResearchStudy.studyFocus.termSource","CommonDataModelResearchStudy.studyFocus.termSource","","","",0,1,"","","","string {[]} {[]}
","The source ontology or vocabulary for subjectFocus.Term (optional if term uses curie).","The source ontology or vocabulary for subjectFocus.Term (optional if term uses curie).","","","","","","","","","",,,,,"",,,,"CommonDataModelResearchStudy.studyFocus.termSource",0,1,"",""
